"Response_ID","Date_submitted","Last_page","Start_language","Date_started","Date_last_action","IP_address","Referrer_URL","Which_part_of_the_NHS_do_you_mainly_work_in?","Which_part_of_the_NHS_do_you_mainly_work_in?_[Other]","What_is_your_main_job/role_within_the_NHS?","What_is_your_main_job/role_within_the_NHS?_[Other]","Can_you_access_WiFi_in_your_place_of_NHS_work?","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_my_own_device_(BYOD)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_a_work-provided_device]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_requires_login_on_a_web_page_after_device_connects_to_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_have_access_to_EduRoam,_the_academic_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_is_provided_by_a_commercial_service_(WiFispark,_BT_OpenZone,_The_Cloud_etc)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_is_free]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_works_in_most_areas_of_my_workplace_that_I_need_it_to.]","Please_provide_some_further_information:_[WiFi_access_is_only_for_work_devices_and_I_haven't_been_provided_with_one]","Please_provide_some_further_information:_[WiFi_isn't_required_-_internet_and_clinical_record_access_via_Desktop_PCs_is_sufficient]","Please_provide_some_further_information:_[There_are_no_WiFi_networks_at_all]","Please_provide_some_further_information:_[There_is_a_good_mobile_data_signal_(ie_3G,_4G)_in_my_place_of_work]","Please_provide_some_further_information:_[Other]","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?_-_comment","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Medical_knowledge_resources]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Personal_email]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Trust_Intranet_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Work_email/NHSMail]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Mobile_electronic_medical_record_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Order_tests_for_patients]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Getting_results_of_patients'_tests]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Patients'_demographic_details_&_location_tracking]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Social_Media/Social_Networking]","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:_[Other]","OPTIONAL:_What_is_the_postcode_of_the_NHS_organisation_at_which_you_do_most_of_your_work?","OPTIONAL:_do_you_have_any_comments_on_WiFi_access_for_staff_or_patients_in_the_NHS?","Total_time","Group_time:_WiFi_in_your_Workplace","Question_time:_NHSSECTOR","Question_time:_JOBROLE","Question_time:_YESNOWIFI","Question_time:_YESWIFI","Question_time:_NOWIFI","Question_time:_CAREQUALITY","Question_time:_DOWITHWIFI","Question_time:_Q0009","Question_time:_POSTCODE","Question_time:_COMMENTS"
"1377","2014-09-30 16:24:28","1","en","2014-09-30 16:22:59","2014-09-30 16:24:28","194.176.105.144","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Administrative Staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","No WiFi for patients or visitors","","EN5 3DJ","","89.99","","","","","","","","","","",""
"1498","2014-10-21 15:42:20","1","en","2014-10-21 15:40:30","2014-10-21 15:42:20","82.40.163.189","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Primary Care / GP","","Doctor","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","BS34 6BQ","","109.98","","","","","","","","","","",""
"1380","","1","en","2014-10-01 08:28:37","2014-10-01 08:35:43","10.6.52.81","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Doctor","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","","Lack of access would be problematic. I can use 2 networks. Wifispark for BYOD & the trust secure network for secure pt info on trust certified devices ","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I can do this already","WiFi for patients and visitors is free with registration","","Se5 8az","Allowing young people access on adolescent psych  wards can increase opportunities for covert bullying, pt to pt confidentiality breaches and opportunities to plan  negative as well as positive group actions.  ","426.76","","","","","","","","","","",""
"1384","2014-10-01 12:35:06","1","en","2014-10-01 12:31:46","2014-10-01 12:35:06","194.176.105.147","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Laboratory Scientist","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","B71 4HJ","Important as it is for staff (especially in clinical areas) to have access to WiFi, I think it would make a really significant difference to patient experience in hospital. ","200.67","","","","","","","","","","",""
"1385","2014-10-01 12:56:09","1","en","2014-10-01 12:54:19","2014-10-01 12:56:09","10.6.173.215","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","WiFi for patients and visitors is free without registration","","","","110.52","","","","","","","","","","",""
"1387","2014-10-01 13:15:21","1","en","2014-10-01 13:14:23","2014-10-01 13:15:21","95.145.128.7","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","","","57.82","","","","","","","","","","",""
"1388","2014-10-01 14:43:24","1","en","2014-10-01 14:38:53","2014-10-01 14:43:24","86.149.96.159","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","IT Professional","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Access is already universal","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","WiFi for patients and visitors is free with registration","","WA2 8WA","WiFi is available, as described above, at all 5BP's locations (about 50 of them, including several hospital sites shared with Acute Trusts).","271.91","","","","","","","","","","",""
"1496","2014-10-21 15:28:21","1","en","2014-10-21 15:23:44","2014-10-21 15:28:21","86.153.73.49","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","Yes","Yes","Yes","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Connecting to wifi is slow and in fact, because the wireless provider (thecloud) hijacks one's connection and redirects all traffic to a login page, it actually slows down accessing internet resources rather than speeds it up. ","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","CF14 4XW","Free wifi allows internet access but not intranet access. Internet access requires a manual step to login using a web form. As such, we currently cannot access intranet based applications (e.g. patient record systems) without having to jump through another hoop - using the Good application.Therefore, it might take 5 minutes to actually get a proper connection. Awful!","277.05","","","","","","","","","","",""
"1393","2014-10-01 22:38:30","1","en","2014-10-01 22:28:22","2014-10-01 22:38:30","81.187.24.205","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Clinical Coder","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","Yes","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't know","","EX2 5DW","WiFi should be available to patients, especially inpatients and regular day case to avoid them having to use expensive mobile data.
WiFi isn't very important in my job day to day, but would make things easier in meetings and training sessions, e.g. being able to make full use of a laptop for note taking.","605.45","","","","","","","","","","",""
"1394","2014-10-01 23:41:11","1","en","2014-10-01 23:37:26","2014-10-01 23:41:11","81.153.239.136","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","Northern Ireland HSC Trust, South Eastern HSC Trust","IT Professional","","Yes","No","No","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","WiFi for patients and visitors is free without registration","","BT16 1RH","It should free to all staff and patients, across all NHS facilities.","225.03","","","","","","","","","","",""
"1396","2014-10-02 08:17:33","1","en","2014-10-02 08:14:58","2014-10-02 08:17:33","217.204.139.244","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","I don't know","","SE1","","154.49","","","","","","","","","","",""
"1397","2014-10-02 09:08:24","1","en","2014-10-02 09:04:10","2014-10-02 09:08:24","194.176.105.132","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Other","Clinical Scientist","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","OL6 9RW","With increasing personal technology (smartphone, tablets, etc) such access would certainly improve the quality of service to patients and improve the patient experience.","254.64","","","","","","","","","","",""
"1398","2014-10-02 09:17:35","1","en","2014-10-02 09:14:38","2014-10-02 09:17:35","86.152.142.44","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","Yes","No","Yes","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Better access would be very useful","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","WiFi for patients and visitors is open but chargeable/non-free","","pl68dh","our current wifi is slow, tempermental and liable to disconnect you without warning! Although obviously it's better than nothing, since there is no mobile phone signal in 90% of the hospital","177.6","","","","","","","","","","",""
"1399","2014-10-02 09:31:11","1","en","2014-10-02 09:28:42","2014-10-02 09:31:11","94.175.246.5","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","IT Professional","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I can do this already","WiFi for patients and visitors is free without registration","","","","149.32","","","","","","","","","","",""
"1400","2014-10-02 11:53:50","1","en","2014-10-02 11:51:16","2014-10-02 11:53:50","194.176.105.156","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Manager/Executive","","Yes","Yes","Yes","No","Yes","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would worsen the care I provide","","I don't need to do this","I can do this already","I don't need to do this","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free without registration","","RH1 5RH","As the Director responsible for WiFi (amongst other things) we wanted to provide 100% free ubiquitous WiFi for patients, visitors and staff which we have done.  I wsih it were more common as I cant usually access Wifi in other hospitals, GP practices etc.  Ian Mackenzie","153.06","","","","","","","","","","",""
"1401","2014-10-02 12:07:14","1","en","2014-10-02 12:02:15","2014-10-02 12:07:14","194.176.105.156","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","No","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would worsen the care I provide","wifi access is present but slow due to traffic ? / signal strength","I want to be able to do this","I can do this already","I can do this already","I can do this already","","","I can do this already","","I can do this already","WiFi for patients and visitors is free with registration","","RH2 8HS","","298.29","","","","","","","","","","",""
"1494","2014-10-21 15:25:04","1","en","2014-10-21 15:21:39","2014-10-21 15:25:04","94.13.61.78","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","Paramedic ","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","Yes","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","No WiFi for patients or visitors","","","","205.05","","","","","","","","","","",""
"1493","2014-10-21 15:46:34","1","en","2014-10-21 15:20:45","2014-10-21 15:46:34","38.112.3.42","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","s10 2th","Why not?","1548.15","","","","","","","","","","",""
"1406","2014-10-02 13:56:28","1","en","2014-10-02 13:52:41","2014-10-02 13:56:28","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","","","I can do this already","","I want to be able to do this","I don't know","","so22 5dg","","226.96","","","","","","","","","","",""
"1405","2014-10-02 13:35:16","1","en","2014-10-02 13:31:09","2014-10-02 13:35:16","194.176.105.156","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","WiFi for patients and visitors is free without registration","","RH15RH","WiFi access is very good in this trust: On trust provided equipment we have access to full patient records etc.  On personal devices this is restructed to Non-clinical use (no patient identifiable material","246.03","","","","","","","","","","",""
"1408","2014-10-02 16:34:52","1","en","2014-10-02 16:32:58","2014-10-02 16:34:52","194.176.105.132","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","No","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is free with registration","","la9 7rg","","114.27","","","","","","","","","","",""
"1409","2014-10-02 17:25:25","1","en","2014-10-02 17:23:08","2014-10-02 17:25:25","194.176.105.156","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","No","No","Yes","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is free without registration","","RH1","","137.03","","","","","","","","","","",""
"1410","2014-10-02 19:42:12","1","en","2014-10-02 19:35:23","2014-10-02 19:42:12","86.9.226.113","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","Yes","No","No","Yes","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Especially for junior doctors it would be helpful to be able to access online resources or apps that require an internet connection. ","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free without registration","","CV2 2DX","Many WiFi networks around, however doctors and nurses do not get given a password. Instead we have to use the patients network where you have to agree to a disclaimer every single time the device connects to the wifi. It is rather tedious and time consuming. There is no 3G or 4G signal at all in the hospital unless you're partly hanging out of an open window. For both staff and patients this is extremely inconvenient at the best of times. ","408.91","","","","","","","","","","",""
"1411","2014-10-02 19:40:07","1","en","2014-10-02 19:36:47","2014-10-02 19:40:07","87.114.170.19","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Community Services","","Manager/Executive","","Yes","No","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","","I can do this already","I can do this already","I can do this already","","","","","","WiFi for patients and visitors is open but chargeable/non-free","","Bt23 4as","","197.95","","","","","","","","","","",""
"1412","2014-10-02 19:48:43","1","en","2014-10-02 19:47:43","2014-10-02 19:48:43","87.242.254.72","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","","","60.18","","","","","","","","","","",""
"1492","2014-10-21 15:11:47","1","en","2014-10-21 15:08:43","2014-10-21 15:11:47","85.255.234.85","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't know","","ST46QG","Poor,availability","184.54","","","","","","","","","","",""
"1415","2014-10-02 19:52:31","1","en","2014-10-02 19:50:32","2014-10-02 19:52:31","86.20.12.197","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is free without registration","","CV2 2DX","","118.23","","","","","","","","","","",""
"1417","2014-10-02 20:12:12","1","en","2014-10-02 20:09:51","2014-10-02 20:12:12","31.48.134.79","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","No","Yes","Yes","Yes","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","I don't know","","","","141.32","","","","","","","","","","",""
"1418","2014-10-02 20:21:53","1","en","2014-10-02 20:17:17","2014-10-02 20:21:53","90.195.210.25","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi would worsen the care I provide","We can google clinical questions and get answers ASAP.
Also useful for showing patients pictures/diagrams which helps to explain and inform them!","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","CV2 2DX","Internet is an integral part of today's society, and NHS should keep up with the time! You would not think of a major corporate office in New York or London without high speed internet access, then why can we have the same when we can put them to good use?!","180.55","","","","","","","","","","",""
"1419","2014-10-02 20:25:02","1","en","2014-10-02 20:23:23","2014-10-02 20:25:02","2.29.219.34","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","No","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free without registration","","CV2","","98.75","","","","","","","","","","",""
"1420","2014-10-02 21:14:36","1","en","2014-10-02 20:53:38","2014-10-02 21:14:36","2.24.119.215","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","There is terrible network coverage in my place of work","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","Ls1 3ex","Wifi access is just one part of the solution. Integrated electronic records, ePrescribing, single sign on, mobile device management software, hardware that can be sanitised, BYOD abilities, etc are all part of the considerable IT healthcare challenge.","1257.39","","","","","","","","","","",""
"1421","2014-10-02 21:17:45","1","en","2014-10-02 21:15:30","2014-10-02 21:17:45","31.50.71.67","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","Yes","No","No","No","Yes","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","WiFi for patients and visitors is free with registration","","RH1 5RH","","134.19","","","","","","","","","","",""
"1422","2014-10-02 21:52:20","1","en","2014-10-02 21:50:47","2014-10-02 21:52:20","88.97.43.128","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","Yes","No","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","WiFi for patients and visitors is free without registration","","Dn33","","93.2","","","","","","","","","","",""
"1424","2014-10-02 22:16:34","1","en","2014-10-02 22:13:45","2014-10-02 22:16:34","2.29.219.34","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Medical Student","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","Open wifi only available in one building","Access to WiFi  would improve the care I provide","Better access to resources, better communication with colleagues","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","Other","In the process of becoming free","CV2 2DX","Widening availability is desperately needed. Medicine is stuck in the dark ages when it comes to connectivity despite almost everyone walking around with high-tech smartphones.","168.23","","","","","","","","","","",""
"1425","2014-10-02 22:17:17","1","en","2014-10-02 22:14:49","2014-10-02 22:17:17","80.42.62.191","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","Other","intermittent wifi for patients with registration","cv2 2dx","","148.47","","","","","","","","","","",""
"1426","2014-10-02 22:37:17","1","en","2014-10-02 22:33:54","2014-10-02 22:37:17","137.205.238.4","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","Medical education","Other","Medical student","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","Cv2 2dx","dont forget there is a need to support medical education as well as delivering clinical services","202.13","","","","","","","","","","",""
"1427","2014-10-02 22:48:53","1","en","2014-10-02 22:47:16","2014-10-02 22:48:53","92.40.249.18","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","Yes","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","G42 9TY","","96.18","","","","","","","","","","",""
"1428","2014-10-02 23:06:18","1","en","2014-10-02 23:03:06","2014-10-02 23:06:18","95.150.4.171","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","No","No","No","No","Yes","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","WiFi for patients and visitors is free with registration","","Cv10 7jd","","192.03","","","","","","","","","","",""
"1429","2014-10-02 23:08:55","1","en","2014-10-02 23:07:28","2014-10-02 23:08:55","82.69.40.232","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","","","86.05","","","","","","","","","","",""
